10	10
1	20	6	71	9	16	8	72	7	35	2	34	0	53	4	21	3	78	5	115	
4	55	2	31	5	83	9	79	0	12	7	66	1	42	8	58	6	90	3	39	
3	34	2	64	8	86	1	19	4	92	9	60	7	43	6	65	0	83	5	19	
1	87	3	98	2	74	7	38	8	24	9	83	6	41	0	93	5	93	4	64	
2	98	0	63	5	25	6	75	7	47	1	25	4	51	9	106	3	17	8	71	
2	35	3	76	5	28	9	5	4	42	6	12	0	130	8	35	1	6	7	95	
3	16	2	59	0	46	1	107	9	32	8	71	6	40	5	59	4	28	7	27	
1	45	0	87	3	41	4	17	6	54	9	43	8	14	5	9	2	31	7	71	
4	33	2	19	8	39	5	33	3	26	7	8	1	31	6	98	9	42	0	109	
8	82	9	81	2	94	4	94	3	22	0	77	7	67	6	78	1	103	5	84	
